date,spx,tsy
2005-02-28,3510.4052,1373.07
2005-03-31,3448.2408,1368.6
2005-04-29,3382.8526,1392.66
2005-05-31,3490.4833,1409.67
2005-06-30,3495.4448,1418.31
2005-07-29,3625.4287,1399.08
2005-08-31,3592.3533,1421.3
2005-09-30,3621.4481,1402.44
2005-10-31,3561.092,1391.47
2005-11-30,3695.7698,1398.22
2005-12-30,3696.8801,1412.71
2006-01-31,3794.7896,1408.5
2006-02-28,3805.0489,1410.55
2006-03-31,3852.3757,1395.33
2006-04-28,3904.0923,1389.58
2006-05-31,3791.7332,1390.04
2006-06-30,3796.7604,1394.47
2006-07-31,3820.1928,1411.74
2006-08-31,3911.0929,1432.46
2006-09-29,4011.7867,1445.76
2006-10-31,4142.4982,1453.1
2006-11-30,4221.2779,1468.28
2006-12-29,4280.126,1456.21
2007-01-31,4344.8479,1453.89
2007-02-28,4259.8856,1478
2007-03-30,4307.4666,1477.28
2007-04-30,4498.2871,1484.89
2007-05-31,4655.2098,1471.56
2007-06-29,4577.8274,1470.92
2007-07-31,4435.9045,1495.31
2007-08-31,4502.3892,1518.75
2007-09-28,4670.7267,1526.94
2007-10-31,4745.0213,1538.95
2007-11-30,4550.3287,1586.18
2007-12-31,4518.5867,1587.45
2008-01-31,4247.5488,1627.75
2008-02-29,4109.5468,1646.3
2008-03-31,4091.7802,1657.72
2008-04-30,4291.0847,1629.23
2008-05-30,4346.6647,1610.21
2008-06-30,3980.1899,1622.86
2008-07-31,3946.7315,1629.72
2008-08-29,4003.8289,1650.08
2008-09-30,3647.0264,1660.18
2008-10-31,3034.5053,1658.35
2008-11-28,2816.7857,1746.36
2008-12-31,2846.7155,1805.52
2009-01-30,2606.785,1752.87
2009-02-27,2329.2179,1743.65
2009-03-31,2533.2551,1781.64
2009-04-30,2775.6615,1749.14
2009-05-29,2930.8222,1731.49
2009-06-30,2936.6229,1727.82
2009-07-31,3158.7226,1735.05
2009-08-31,3272.7022,1750.5
2009-09-30,3394.8103,1764.12
2009-10-30,3331.7114,1763.26
2009-11-30,3531.4179,1787.81
2009-12-31,3599.6188,1741.11
2010-01-29,3470.1375,1768.63
2010-02-26,3577.558,1775.62
2010-03-31,3793.4532,1760.58
2010-04-30,3853.3153,1779.03
2010-05-31,3545.6367,1809.46
2010-06-30,3360.0042,1843.06
2010-07-30,3595.4025,1855.63
2010-08-31,3433.0819,1892.89
2010-09-30,3739.4498,1893.29
2010-10-29,3881.729,1890.3
2010-11-30,3882.1965,1877.09
2010-12-31,4141.6728,1843.32
2011-01-31,4239.8192,1842.86
2011-02-28,4385.0361,1841.49
2011-03-31,4386.8051,1840.37
2011-04-29,4516.6841,1861.6
2011-05-31,4465.5439,1890.67
2011-06-30,4391.1016,1884.28
2011-07-29,4301.7832,1918.62
2011-08-31,4068.0667,1971.91
2011-09-30,3782.0964,2006.35
2011-10-31,4195.4487,1989.99
2011-11-30,4186.1347,2004.84
2011-12-30,4228.8772,2024.21
2012-01-31,4418.3825,2032.77
2012-02-29,4609.4443,2018.29
2012-03-30,4760.8799,1998.04
2012-04-30,4730.9683,2027.1
2012-05-31,4446.6396,2061.85
2012-06-29,4629.8605,2054.68
2012-07-31,4694.1502,2075.36
2012-08-31,4799.967,2072.69
2012-09-28,4923.9911,2066.35
2012-10-31,4833.0749,2062.85
2012-11-30,4861.0997,2073.58
2012-12-31,4905.2121,2064.56
2013-01-31,5159.2559,2047.89
2013-02-28,5229.2594,2058.71
2013-03-29,5425.3818,2060.73
2013-04-30,5529.9002,2079.05
2013-05-31,5659.1904,2043.55
2013-06-28,5583.2089,2021.06
2013-07-31,5867.3039,2018.86
2013-08-30,5697.3144,2009.05
2013-09-30,5875.9949,2023.1
2013-10-31,6146.0728,2032.86
2013-11-29,6333.3303,2026.21
2013-12-31,6493.2339,2007.83
2014-01-31,6268.7352,2035.07
2014-02-28,6555.4354,2040.61
2014-03-31,6610.5533,2034.78
2014-04-30,6659.4012,2046.01
2014-05-30,6815.6679,2065.28
2014-06-30,6956.4679,2062.34
2014-07-31,6860.5223,2058.98
2014-08-29,7134.9522,2080.7
2014-09-30,7034.9132,2069.31
2014-10-31,7206.7082,2089.47
2014-11-28,7400.4408,2106.32
2014-12-31,7381.3976,2109.32
2015-01-30,7159.8205,2163.88
2015-02-27,7571.2961,2130.46
2015-03-31,7451.5815,2143.9
2015-04-30,7523.0429,2132.62
2015-05-29,7619.7985,2128.78
2015-06-30,7472.293,2109.99
2015-07-31,7628.8702,2127.58
2015-08-31,7168.5584,2128.51
2015-09-30,6991.2124,2147.19
2015-10-30,7580.9366,2139.33
2015-11-30,7603.4922,2130.58
2015-12-31,7482.8827,2127.09
2016-01-29,7111.5406,2172.39
2016-02-29,7101.9579,2191.75
2016-03-31,7583.7234,2195.22
2016-04-29,7613.1415,2192.91
2016-05-31,7749.83,2192.85
2016-06-30,7769.9436,2241.26
2016-07-29,8056.379,2250.34
2016-08-31,8067.7162,2237.97
2016-09-30,8069.2224,2235.01
2016-10-31,7922.0256,2210.41
2016-11-30,8215.428,2151.43
2016-12-30,8377.2645,2149.16
2017-01-31,8536.1504,2154.02
2017-02-28,8875.0808,2164.65
2017-03-31,8885.4333,2163.66
2017-04-28,8976.696,2178.69
2017-05-31,9103.0163,2192.91
2017-06-30,9159.8271,2189.36
2017-07-31,9348.1733,2193.01
2017-08-31,9376.7894,2216.75
2017-09-29,9570.2172,2197.75
2017-10-31,9793.5263,2195.09
2017-11-30,10093.9069,2192.07
2017-12-29,10205.4158,2198.84
2018-01-31,10789.4939,2168.97
2018-02-28,10391.7958,2152.63
2018-03-30,10127.7237,2172.93
2018-04-30,10166.5714,2155.33
2018-05-31,10411.3552,2174.68
2018-06-29,10475.4414,2175.13
2018-07-31,10865.2896,2166.03
2018-08-31,11219.315,2182.6
2018-09-28,11283.1728,2162.22
2018-10-31,10511.9423,2151.89
2018-11-30,10726.1274,2170.99
2018-12-31,9757.2182,2217.7
2019-01-31,10539.1068,2228.14
2019-02-28,10877.4959,2222.1
2019-03-29,11088.8706,2264.52
2019-04-30,11537.8508,2258.24
2019-05-31,10804.6334,2311.31
2019-06-28,11566.1134,2332.64
2019-07-31,11732.3499,2329.89
2019-08-30,11546.5087,2409.1
2019-09-30,11762.5522,2388.72
2019-10-31,12017.2973,2390.35
2019-11-29,12453.524,2383.16
2019-12-31,12828.4902,2369.78
2020-01-31,12822.8537,2427.69
2020-02-28,11767.2587,2492.04
2020-03-31,10313.7844,2564.12
2020-04-30,11635.9486,2580.43
2020-05-29,12190.1678,2573.89
2020-06-30,12432.5254,2576.3
2020-07-31,13133.4948,2605.74
2020-08-31,14077.5642,2577.2
2020-09-30,13542.5906,2580.77
2020-10-30,13182.4415,2556.44
2020-11-30,14625.4162,2565.34
2020-12-31,15187.2353,2559.4
2021-01-29,15032.6683,2534.92
2021-02-26,15447.2051,2488.92
2021-03-31,16123.5958,2450.55
2021-04-30,16984.0817,2468.93
2021-05-31,17102.6572,2477.44
2021-06-30,17501.8649,2493.36
2021-07-30,17917.5898,2527.29
2021-08-31,18462.4024,2522.86
2021-09-30,17603.46,2495.52
2021-10-29,18836.6045,2493.76
2021-11-30,18705.6852,2512.85
2021-12-31,19542.6114,2499.95
2022-01-31,18531.3088,2452.59
2022-02-28,17975.9222,2436.43
2022-03-31,18643.1547,2360.57
2022-04-29,17017.4652,2287.44
2022-05-31,16986.7857,2260.23
2022-06-30,16986.7857,2260.23
